slno,trans_date_trans_time,cc_num,category,AMT_TRANS,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud
15118,26-06-20 14:11,3.71E+14,entertainment,239850,John,Davis,M,9670 Monroe Junctions,Rockwood,PA,15557,39.9373,-79.1865,3684,General practice doctor,10/1/1976,a5f2374cecb9a2377cd4bf971b037a31,40.609354,-78.413723,1
15119,26-06-20 14:11,3.59E+15,home,540000,Kathy,Hughes,F,02110 Lucas Freeway Suite 517,Battle Creek,IA,51006,42.3327,-95.6045,1075,"Teacher, early years/pre",2/1/1997,1a3e62046247b9b3a5d4847a3405493f,42.909573,-94.895022,0
15120,26-06-20 14:11,2.71E+15,personal_care,225000,David,Serrano,M,4739 Martin Common,Zaleski,OH,45698,39.283,-82.3977,341,Accounting technician,18-12-78,77f694d30277570a99e7e13cc6f7bee0,38.898191,-82.18648,0
15121,26-06-20 14:11,1.80E+14,personal_care,675000,Sharon,Smith,F,17666 David Valleys,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",22-09-72,d6df08ed1efe1303d95b32d5386b2488,33.918576,-116.799301,1
15122,26-06-20 14:13,3.02E+13,kids_pets,787500,Robin,Smith,F,0537 Margaret Common Suite 526,Coleman,TX,76834,31.8287,-99.427,5908,Radio producer,5/4/1962,035cda343f24983f52b17a4bd1ae6640,31.070609,-99.936079,0
15123,26-06-20 14:13,2.72E+15,kids_pets,315000,Joseph,Murray,M,42933 Ryan Underpass,Manderson,SD,57756,43.3526,-102.5411,1126,Volunteer coordinator,18-08-80,f57198d860188b4566b16a7a5038f0f6,42.441842,-102.54721,1
15124,26-06-20 14:13,4.17E+15,kids_pets,180000,Jamie,Carr,F,55363 Aaron Circle Suite 450,Lawn,PA,17041,40.2236,-76.538,213,Special educational needs teacher,15-02-72,fe8435346950959aac367aa614f6110e,40.694702,-75.727913,0
15125,26-06-20 14:14,3.81E+13,shopping_pos,845811,Anna,Logan,F,3522 Park Wells Suite 528,Cleveland,TX,77327,30.33,-95.0202,34153,Building surveyor,11/9/1995,18d351d1e853231e814492e48bc008bd,29.692212,-95.178582,0
15126,26-06-20 14:14,3.44E+14,food_dining,521280,Jeffrey,Munoz,M,836 Stephanie Union,Cedar,MI,49621,44.8605,-85.8138,3096,"Social research officer, government",11/10/1975,e6f352ae5b79d13137ab0a44c6e3d98f,45.837947,-85.800274,0
15127,26-06-20 14:15,3.58E+15,travel,814041,Rachel,Villarreal,F,250 Carrie Throughway,University,MS,38677,34.3396,-89.5736,4198,Curator,22-06-01,3e3671dd63144d878eef6fab6f30ec49,33.930603,-89.622959,1
15128,26-06-20 14:15,4.34E+15,home,675000,Christopher,Rodgers,M,30587 Fox Shores Apt. 627,Fenelton,PA,16034,40.8555,-79.7372,2054,Communications engineer,29-09-76,ebb1c42608c438a7b28ab0ec885ac03b,41.281132,-79.393711,0
15129,26-06-20 14:15,4.81E+12,food_dining,180000,Sabrina,Nolan,F,312 Eric Expressway Apt. 014,Phenix City,AL,36869,32.4204,-85.0796,59744,Chemical engineer,7/2/1984,8b675121b18a87e1a61f5455f982dbe4,32.297892,-84.406033,0
15130,26-06-20 14:16,3.73E+14,entertainment,225000,Vincent,Richards,M,2064 Tyler Fork,Beasley,TX,77417,29.479,-95.9681,2457,Trading standards officer,4/3/1981,40d258b08f7552d0618534a8f8c95ce3,29.336749,-95.612314,0
15131,26-06-20 14:16,4.86E+18,entertainment,192514.5,Jeremy,Roberson,M,25887 Martin Inlet,Graniteville,VT,5654,44.1554,-72.4847,970,Agricultural consultant,29-09-93,d3d3c0e38c668546e073967285cd56bf,44.013256,-73.184329,0
15132,26-06-20 14:16,1.80E+14,travel,1800000,Cody,Miller,M,25748 John Wells,Mooresville,NC,28117,35.584,-80.8685,69793,Control and instrumentation engineer,8/12/1953,95dafed20c6bf45704d64f373f41b365,34.93303,-80.517371,1
15133,26-06-20 14:16,3.57E+15,travel,382500,Adriana,Harvey,F,715 Joy Prairie,Unionville,MO,63565,40.4815,-92.9951,3805,"Investment banker, corporate",15-09-50,c769451fb9dfff78f10cb860950c0eaa,41.151899,-92.565585,0
15134,26-06-20 14:17,3.60E+15,shopping_pos,225000,Sara,Ramirez,F,23843 Scott Island,Birmingham,IA,52535,40.8626,-91.9534,888,Camera operator,25-03-88,99d0c39a8a7d07822c7cfc5117d69633,40.211261,-92.23229,0
15135,26-06-20 14:17,4.17E+15,kids_pets,414792,Jamie,Carr,F,55363 Aaron Circle Suite 450,Lawn,PA,17041,40.2236,-76.538,213,Special educational needs teacher,15-02-72,3cf13eaf6a44117274ff125ee9fb355f,40.13219,-77.321973,0
15136,26-06-20 14:17,6.57E+15,personal_care,225000,Kristina,Lewis,F,5449 Brandi Heights Apt. 111,Tulsa,OK,74130,36.2395,-95.9596,413574,Bookseller,18-06-68,e7f1649bdb9cba5eedd8aeffd87f7b05,36.333883,-96.344037,1
15137,26-06-20 14:17,4.30E+15,food_dining,521280,David,Rodriguez,M,821 Solis Points,Muskegon,MI,49440,43.2326,-86.2492,128715,Historic buildings inspector/conservation officer,25-05-95,df5926d344ee955fa156c1b1c44c987f,43.797365,-85.993765,0
15138,26-06-20 14:18,2.13E+14,entertainment,755190,Tara,Campbell,F,05050 Rogers Well Apt. 439,Rock Springs,WY,82901,41.606,-109.23,27971,Music therapist,1/8/1984,2c6ceae0920eb7d16b1e021d6624b7bd,40.734203,-109.372952,0
15139,26-06-20 14:20,4.63E+15,shopping_pos,900000,Mackenzie,Smith,F,7178 Willis Drive,Hooper,NE,68031,41.6414,-96.5232,1745,"Engineer, automotive",26-12-73,15e083ab42261826af149dde522622d4,42.595391,-95.740925,1
15140,26-06-20 14:21,3.05E+13,personal_care,630000,Amanda,Smith,F,180 Graves Shore,Scotia,SC,29939,32.6786,-81.2455,302,Magazine features editor,4/5/1973,5c7134272e3ef085fe4be8d2388427b0,33.671238,-81.111578,0
15141,26-06-20 14:22,3.44E+14,personal_care,1046142,Jeffrey,Munoz,M,836 Stephanie Union,Cedar,MI,49621,44.8605,-85.8138,3096,"Social research officer, government",11/10/1975,fa2783028b59a2fc5e80619f5e7c5423,45.758473,-85.461963,1
15142,26-06-20 14:23,3.55E+15,shopping_pos,840996,Keith,Sanders,M,8030 Beck Motorway,Moorhead,MS,38761,33.4783,-90.5142,2870,Chartered public finance accountant,5/3/1999,ac4fcf4d76abb2cb6c92dcdd7f7cf8a6,33.207823,-89.609944,0
15143,26-06-20 14:23,2.13E+14,health_fitness,1494486,Monica,Lane,F,3270 Scott Islands,East Andover,ME,4226,44.6084,-70.6993,190,Animal nutritionist,17-04-70,75567b6bd11c830dfea46c0251ac9140,45.409032,-71.575371,1
15144,26-06-20 14:23,3.56E+15,health_fitness,814041,Olivia,Stephenson,F,292 Cassidy Oval,Lowville,NY,13367,43.7893,-75.4156,8830,Theme park manager,29-03-91,046a2512fb03f2002a986f934de5725f,44.214622,-75.517346,0
15145,26-06-20 14:24,4.31E+15,travel,755190,Renee,Walls,F,86542 Jessica Fords Apt. 706,Veedersburg,IN,47987,40.1186,-87.2602,4049,"Development worker, community",19-10-59,efeb9f207c733bfd14fcb0d055f63379,40.944826,-87.83589,0
15146,26-06-20 14:24,2.25E+15,entertainment,302076,Margaret,Gibson,F,382 Williams Stream Suite 197,Scotland,MD,20687,38.0828,-76.3477,313,Insurance underwriter,26-03-76,1ce15f952ae03d5f58c9239a83227ac8,37.794267,-75.476643,0
15147,26-06-20 14:24,4.74E+18,entertainment,270000,Cassandra,Sanders,F,78117 George Mountains,Paauilo,HI,96776,20.0271,-155.3697,1490,"Scientist, research (maths)",13-04-91,1d4dceb882d24c8b2ae7d1c15c462b96,19.743968,-154.581603,1
15148,26-06-20 14:24,3.01E+13,shopping_pos,855657,Jared,Velazquez,M,01479 Murray Circle,Matawan,NJ,7747,40.4109,-74.238,30770,Drilling engineer,29-04-93,2a09116b54e4ccf41afb8d9ac09b5f38,41.263927,-73.573041,0
15149,26-06-20 14:25,3.69E+13,home,270000,Ana,Mccormick,F,4503 Patricia Route,Meridian,ID,83646,43.6498,-116.4306,84106,Intelligence analyst,11/2/1971,4955fe2609efe9449d6f5a4a45debc42,43.970387,-117.293415,0
15150,26-06-20 14:26,2.13E+14,kids_pets,781920,Kayla,Sutton,F,010 Weaver Land,Carlotta,CA,95528,40.507,-123.9743,1139,"Therapist, occupational",15-01-51,0546bab4905b59c9d9c7c294a8b1464b,40.293239,-123.434723,1
15151,26-06-20 14:26,6.30E+11,misc_pos,808650,Stephanie,Gill,F,43039 Riley Greens Suite 393,Orient,WA,99160,48.8878,-118.2105,149,Special educational needs teacher,21-06-78,2f0b7b9179d5a5d7689a003fc96ca89a,49.100376,-117.382222,0
15152,26-06-20 14:27,5.60E+15,kids_pets,1046142,Joseph,Moody,M,5901 Foster Pine,Kenner,LA,70062,29.9912,-90.2479,68211,"Engineer, petroleum",23-04-41,6d1f8cf1850cafd2e11c6461b060759f,29.772281,-89.39099,0
15153,26-06-20 14:27,6.01E+15,kids_pets,177903,Anthony,Roberts,M,95488 Cabrera Well,Maria Stein,OH,45860,40.4062,-84.5076,2274,"Designer, television/film set",17-12-43,65004ed384ca61a9d4f2f8e26102e6f7,40.75384,-83.511467,1
15154,26-06-20 14:28,4.01E+15,entertainment,450000,Jennifer,Bishop,F,589 Matthew Brooks,Houston,TX,77026,29.7972,-95.3288,2906700,Animator,24-08-83,382fcbe5b74092a427ad09fd3a699ba2,30.42621,-95.265518,0
15155,26-06-20 14:28,3.55E+15,shopping_pos,1024636.5,Sara,Harris,F,597 Jenny Ford Apt. 543,Tupper Lake,NY,12986,44.232,-74.4905,6120,Chartered loss adjuster,9/10/1976,a2ca50d0cbc4e1d827cd9e87523761ef,43.928013,-74.654871,0
15156,26-06-20 14:28,6.76E+11,shopping_net,1042560,Jessica,Werner,F,4529 Cannon Alley,Center Point,WV,26339,39.4125,-80.6352,255,Chief Executive Officer,10/12/1971,60c797d307abdec113d86e222262c822,39.513554,-81.603421,1
15157,26-06-20 14:28,4.84E+15,kids_pets,1236816,Meredith,Campbell,F,043 Hanson Turnpike,Hedrick,IA,52563,41.1826,-92.3097,1583,Geochemist,28-06-99,f0c5e15c1f81ba986a08b54d72ecb0f3,40.724023,-92.724075,0
15158,26-06-20 14:29,3.03E+13,home,227493,Helen,Campbell,F,182 Sergio Summit Apt. 129,Browning,MO,64630,40.029,-93.1607,602,Cytogeneticist,14-07-54,a901befd35893a8759466dbf3af47538,40.906956,-92.51611,0
15159,26-06-20 14:29,6.76E+11,shopping_pos,247500,Vicki,Mendoza,F,3645 Atkins Island Apt. 238,Esbon,KS,66941,39.7562,-98.4462,242,Tourism officer,18-07-87,a8390415eb372baeac0744e382aebab0,39.699082,-98.925964,1
15160,26-06-20 14:30,3.60E+15,entertainment,270000,Dustin,Roberts,M,3283 James Station,Fayetteville,NC,28314,35.0583,-79.008,238602,"Scientist, research (maths)",14-05-93,7d7f7052c2615a6adbef416dde3b60af,34.890212,-78.156843,0
15161,26-06-20 14:31,3.02E+13,personal_care,467667,Michael,Rodriguez,M,172 Paula Inlet Apt. 650,Cross Plains,TX,76443,32.1482,-99.1872,1897,Chief Operating Officer,19-04-53,f4b9d2bf1afdc045d54e5cfade653b56,32.954206,-98.617801,1
15162,26-06-20 14:32,3.00E+13,health_fitness,830214,John,Peters,M,555 Michael Burgs,Mayersville,MS,39113,32.9013,-91.0286,595,Technical brewer,3/9/1979,2251bfae6e7c260d829329db348f8f1a,32.461733,-91.921681,0
15163,26-06-20 14:32,6.30E+11,misc_net,900000,Stephanie,Gill,F,43039 Riley Greens Suite 393,Orient,WA,99160,48.8878,-118.2105,149,Special educational needs teacher,21-06-78,31394dfe6c39870e886d7291e0e37261,48.607237,-119.203856,1
15164,26-06-20 14:32,3.00E+13,home,117162,Allison,Ayala,F,87665 Karen Mill Apt. 586,Fort Myers,FL,33967,26.4722,-81.8122,224256,Paramedic,29-08-85,365de08ebd8532f018781d74b6859ac3,27.297082,-82.126296,0
15165,26-06-20 14:33,3.55E+15,entertainment,283585.5,Keith,Sanders,M,8030 Beck Motorway,Moorhead,MS,38761,33.4783,-90.5142,2870,Chartered public finance accountant,5/3/1999,310e4d6e5497374de06b7d811b95cdfc,34.384263,-91.235956,1
15166,26-06-20 14:33,3.89E+13,home,337500,Lori,Rodriguez,F,12087 Michael Light,Creola,OH,45622,39.3543,-82.503,321,"Copywriter, advertising",24-06-79,915f3aa78a43190523496bc038b8b540,38.79817,-82.428489,0
15167,26-06-20 14:33,4.47E+18,shopping_pos,497520,Gregory,Graham,M,4005 Dana Glens,Methuen,MA,1844,42.728,-71.181,47249,Market researcher,22-11-80,9e97726a74430765bd72f326fb827520,42.649313,-70.930021,1
15168,26-06-20 14:33,2.13E+14,health_fitness,545157,Joseph,Wagner,M,822 Austin Spur,North Judson,IN,46366,41.2244,-86.6966,5791,"Doctor, general practice",7/10/1959,405bfb8a1f61856be5aa8e0a4457024d,40.794378,-87.609277,0
15169,26-06-20 14:35,5.71E+11,home,446931,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",12/7/1995,bbd8a38d7679704985c973f76cbc4d77,43.682377,-86.268003,1
15170,26-06-20 14:35,4.30E+15,misc_pos,1142856,David,Rodriguez,M,821 Solis Points,Muskegon,MI,49440,43.2326,-86.2492,128715,Historic buildings inspector/conservation officer,25-05-95,08e35316971510ec6abb9060e6db8c7d,43.889044,-87.218094,0
15171,26-06-20 14:35,6.01E+15,shopping_pos,506889,Kathryn,Smith,F,19838 Tonya Prairie Apt. 947,Rocky Mount,MO,65072,38.2911,-92.7059,1847,Tax inspector,26-10-88,04257d460e62b537125f5d915f5295b4,38.606135,-92.599279,1
15172,26-06-20 14:36,3.40E+14,health_fitness,497520,Sophia,Dickson,F,9047 Rodriguez Turnpike,Gibsonville,NC,27249,36.1183,-79.5685,12486,Arboriculturist,9/2/2034,252620f50ed798b79acfeda8257ae985,35.153386,-79.658544,0
15173,26-06-20 14:37,4.68E+15,shopping_net,1078200,Tammy,Davis,F,77663 Colleen Freeway,Moundsville,WV,26041,39.9148,-80.731,16183,Physiotherapist,12/8/1977,c829375a26d7710ba4e026bb15dcd1b0,40.807524,-80.179831,1
15174,26-06-20 14:37,3.51E+15,kids_pets,225000,Ariana,Campbell,F,50932 Neal Valley,Daniels,WV,25832,37.7256,-81.1087,3994,"Biochemist, clinical",5/11/2036,6e7e033435f378dcf9cf19442845a859,38.541773,-81.47938,0
15175,26-06-20 14:37,4.59E+18,personal_care,247500,Amber,Lewis,F,6296 John Keys Suite 858,Pembroke Township,IL,60958,41.0646,-87.5917,2135,"Psychotherapist, child",8/5/2004,6f88a631770336fb2bd6b5b1139aef6b,41.454372,-86.786598,0
15176,26-06-20 14:38,4.06E+18,health_fitness,808650,Patricia,Mendoza,F,1683 Davidson Freeway,Mendon,UT,84325,41.71,-111.9817,2078,"Scientist, audiological",13-06-63,243ad66d9fb9426360f662a477641a4f,41.777607,-111.873987,0
15177,26-06-20 14:39,3.03E+13,misc_pos,592560,Sarah,Foster,F,77872 Andrea Glen Apt. 543,Ford,VA,23850,37.1349,-77.7364,1051,Chief Operating Officer,21-11-76,3982b867caf0dc9c568a8e806184ea6e,36.902343,-76.963191,1
15178,26-06-20 14:39,4.43E+18,kids_pets,450000,Kyle,James,M,621 Smith Hollow Apt. 738,Topeka,KS,66616,39.0645,-95.6413,163415,Clinical cytogeneticist,25-06-75,7783e43bcc4879c108751428ec0b1750,39.104802,-94.700385,0
15179,26-06-20 14:40,3.75E+14,entertainment,1080000,Shannon,Bell,F,2918 David Spurs,Georgetown,MN,56546,47.0999,-96.727,346,"Research officer, trade union",14-12-76,0d82725ac6f6d560a4165235005ea1af,47.924716,-96.471941,1
15180,26-06-20 14:40,4.56E+18,shopping_net,1125000,Angela,Taylor,F,6343 Ramirez Skyway Apt. 518,Lakeport,CA,95453,39.047,-122.9328,11256,Podiatrist,18-10-72,d784ffe2a5411744b9f66bb9b8a1d814,39.340351,-122.821144,0
15181,26-06-20 14:41,6.01E+15,shopping_net,971280,Emily,Hall,F,8851 Reese Neck,Basye,VA,22810,38.8089,-78.7776,863,"Engineer, mining",9/8/1972,a54b62a255b0fe6e8bf7b9eab21d831a,38.178577,-79.154251,1
15182,26-06-20 14:42,5.00E+15,home,521280,Mary,Pruitt,F,2819 Luke Greens Suite 563,Kansas City,MO,64114,38.9621,-94.5959,545147,Counsellor,18-11-87,4e6d51214a4583e770cead8a33784605,39.146022,-93.904623,0
15183,26-06-20 14:42,3.56E+15,kids_pets,755190,Matthew,Huerta,M,622 Williams Trafficway,Ringwood,IL,60072,42.4048,-88.3054,928,Outdoor activities/education manager,13-05-85,9a1aa7f8923f41df79103f2c83c90425,42.984923,-87.62686,1
15184,26-06-20 14:42,4.00E+15,kids_pets,135000,Chris,White,M,98897 Bennett Lodge,Bessemer,AL,35022,33.3224,-86.9657,71463,Radio broadcast assistant,8/2/1989,b0f67f44ff0edf5f37289dd7d88cd0db,33.5034,-87.388798,0
15185,26-06-20 14:43,3.06E+13,shopping_net,675000,Morgan,Smith,F,1441 Bradley Place,Grover,NC,28073,35.1836,-81.4552,5621,Toxicologist,14-11-73,6f8b1012c2a77fff0a9ef4839320d852,35.551326,-81.228455,0
15186,26-06-20 14:43,6.76E+11,kids_pets,286704,David,Wolfe,M,81261 Garcia Underpass Suite 741,Southfield,MI,48034,42.4969,-83.2911,75830,"Engineer, automotive",28-12-74,fdd6e0528fad9c3d56af43caf6b94b6a,42.20402,-82.703878,1
15187,26-06-20 14:44,1.80E+14,kids_pets,254700,Mary,Schmidt,F,022 Moore Island,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,29-12-57,cd3346f8d7479d003b54caaef82ab832,41.30327,-73.989054,0
15188,26-06-20 14:44,3.50E+15,shopping_pos,810000,Drew,Garcia,M,70858 Jasmine Meadows Apt. 135,Lima,OH,45801,40.7641,-84.0973,86954,"Copywriter, advertising",23-07-92,42937aeb6aa75eb00618e36b71a592bd,41.133361,-84.962989,0
15189,26-06-20 14:45,4.81E+18,shopping_pos,595903.5,Julie,Sanchez,F,916 Charles Road,Bowersville,OH,45307,39.5756,-83.7153,338,Quantity surveyor,28-07-88,068d1587ff974b9f4ba5c803e09bc648,39.919396,-83.165602,1
15190,26-06-20 14:45,3.58E+15,entertainment,835380,Lindsay,Wilson,F,7618 Gonzales Mission,Centerview,MO,64019,38.7897,-93.8702,2368,Electronics engineer,17-07-89,aa674ccedcea49455a13e770855a1100,38.501873,-94.006976,0
15191,26-06-20 14:45,3.60E+15,shopping_net,1130062.5,Lisa,Clark,F,07943 Davis River,Grimesland,NC,27837,35.558,-77.2566,5903,Manufacturing systems engineer,7/10/1993,d859bbb6a90e2c44ebef3e40569fa0b9,34.747615,-77.497271,0
15192,26-06-20 14:45,4.30E+15,shopping_pos,1515415.5,David,Rodriguez,M,821 Solis Points,Muskegon,MI,49440,43.2326,-86.2492,128715,Historic buildings inspector/conservation officer,25-05-95,901c0e51aa6701e9ff16241011840273,43.388176,-85.878437,1
15193,26-06-20 14:46,3.69E+13,food_dining,127350,Ana,Mccormick,F,4503 Patricia Route,Meridian,ID,83646,43.6498,-116.4306,84106,Intelligence analyst,11/2/1971,3032ccb12e3e73e3117f490ad32c8ff6,43.922741,-115.455546,0
15194,26-06-20 14:46,6.52E+15,food_dining,239850,James,Reese,M,26975 Richardson Mills Apt. 402,Sontag,MS,39665,31.6453,-90.1801,1196,"Librarian, academic",11/6/1958,3b96e9f717a8c7b2fb103e41b90c8960,31.667285,-90.469819,1
15195,26-06-20 14:46,2.22E+15,food_dining,790830,Amy,Garrett,F,6014 Thomas Throughway,Trenton,TX,75490,33.4235,-96.3398,2211,"Investment banker, operational",26-02-87,9d718d37d656316f5bbead618bba0c53,32.86866,-96.799515,0
15196,26-06-20 14:46,3.75E+14,health_fitness,180000,Joshua,Mendoza,M,4215 Miranda Field Suite 326,Tallmansville,WV,26237,38.8564,-80.158,571,Accounting technician,16-09-67,871a68b61dd15f27a7ca1db1bf43a8b1,39.579977,-79.751376,1
15197,26-06-20 14:47,2.28E+15,health_fitness,1001425.5,Shannon,Williams,F,9345 Spencer Junctions Suite 183,Alpharetta,GA,30009,34.077,-84.3033,165556,Prison officer,27-12-97,7019dfa204f7898a350ca8021671ea42,34.221903,-84.634863,0
15198,26-06-20 14:47,3.04E+13,kids_pets,315000,Samuel,Sandoval,M,0005 Morrison Land,Mounds,OK,74047,35.8896,-96.0887,7163,Fitness centre manager,5/2/1982,e390a9b601bced13df90b6072728853a,36.160872,-96.66317,0
15199,26-06-20 14:47,6.01E+15,home,900000,Ann,Lawson,F,144 Evans Islands Apt. 683,Burbank,WA,99323,46.1966,-118.9017,3684,Musician,29-11-81,049c2b59c0a5ff42e8442913c0e98357,45.657238,-118.034252,1
15200,26-06-20 14:47,3.46E+14,misc_pos,544491,Carol,Dillon,F,27479 Reeves Dale,Whaleyville,MD,21872,38.4121,-75.2811,718,Regulatory affairs officer,19-03-85,9f2d91221d3329ccc2f140c138965c21,37.480029,-75.340967,0
15201,26-06-20 14:47,2.13E+14,travel,288873,Ana,Howell,F,4664 Sanchez Common Suite 930,Bradley,SC,29819,34.0326,-82.2027,1523,Research scientist (physical sciences),3/6/1984,2ce9b7af8e5f42e406e5a88b094a7aca,33.684169,-82.290541,1
15202,26-06-20 14:48,3.75E+14,shopping_net,497520,Daniel,Escobar,M,61390 Hayes Port,Romulus,MI,48174,42.2203,-83.3583,31515,Police officer,5/11/1971,bc570bbcd4ba8a73ce89cdd29d8c142e,41.561379,-84.033342,0
15203,26-06-20 14:48,3.04E+13,shopping_net,225000,Savannah,Lewis,F,537 Walker Freeway,North Tonawanda,NY,14120,43.0498,-78.851,45100,Ambulance person,25-10-93,9963a229bed5c9b01c0306b79b87eeff,43.743728,-79.512899,1
15204,26-06-20 14:48,4.51E+18,shopping_net,370638,Monica,Cohen,F,864 Reynolds Plains,Uledi,PA,15484,39.8936,-79.7856,328,Tree surgeon,25-07-83,ce6082ab1125520157f034beb845db19,40.774887,-80.415169,1
15205,26-06-20 14:48,4.01E+12,travel,622413,Robert,Sanchez,M,7314 Johnson Square Apt. 296,Parkers Lake,KY,42634,36.8347,-84.4436,1565,"Designer, industrial/product",24-07-68,4ace7d5b198cdcd0ee8aebb5dbacf8ec,37.157136,-84.62104,0
15206,26-06-20 14:48,3.53E+15,home,867951,Robert,Haynes,M,857 Aaron Circles Suite 398,Johns Island,SC,29455,32.8357,-79.8217,20478,Materials engineer,4/6/1997,5ce82110277257134f971d6e4c93592c,32.62612,-80.40138,1
15207,26-06-20 14:49,6.01E+15,personal_care,225000,Erin,Chavez,F,3379 Williams Common,Littleton,CO,80120,39.5994,-105.0044,320420,Water engineer,31-07-75,11635e1712c3251494da0ed4171ea7ba,39.899429,-104.259482,1
15208,26-06-20 14:49,3.56E+15,home,541323,Angela,Edwards,F,486 Wilkins Pines,Lithopolis,OH,43136,39.8013,-82.8125,460,"Lecturer, higher education",19-06-04,f26f1574c0bd83f532e80a8b58528010,39.991473,-82.633342,1
15209,26-06-20 14:50,2.71E+15,food_dining,1054773,Jenna,Brooks,F,50872 Alex Plain Suite 088,Baton Rouge,LA,70808,30.4066,-91.1468,378909,"Designer, furniture",22-02-77,66f0040eda64fe9588e773b0946bcb88,31.268948,-91.252028,0
15210,26-06-20 14:51,4.68E+12,entertainment,254700,Daniel,Boyd,M,8925 Nicholas Points,Egan,LA,70531,30.251,-92.5002,1261,Broadcast presenter,1/7/1972,0f057defb99c845b82d894c4fbd5511a,29.699628,-91.820868,0
15211,26-06-20 14:52,3.73E+14,shopping_pos,652500,Kristen,Hanson,F,26544 Andrea Glen,Goodrich,MI,48438,42.9147,-83.4845,6951,Learning disability nurse,18-06-85,b6facb27610796df99d7907ee10526d4,43.860982,-82.72202,0
15212,26-06-20 14:52,6.76E+11,food_dining,609187.5,David,Wolfe,M,81261 Garcia Underpass Suite 741,Southfield,MI,48034,42.4969,-83.2911,75830,"Engineer, automotive",28-12-74,87b821899681cc8ecef54265d83e0eaf,43.251253,-83.35427,0
15213,26-06-20 14:53,3.02E+13,kids_pets,270000,Hayden,Sanders,M,8465 Reed Green Suite 559,Montandon,PA,17850,40.9661,-76.8575,645,Orthoptist,18-05-74,5d2633fe84415f2e8471c2a57ef94674,40.200696,-77.351203,0
15214,26-06-20 14:53,6.01E+15,home,961146,Maria,Roy,F,58665 Nicholas Ford Suite 348,Sheffield,MA,1257,42.1001,-73.3611,2121,Radio producer,14-10-73,18acce66f0d4ee8a2a42d44b72be36bd,42.305178,-74.243145,1
15215,26-06-20 14:54,4.45E+15,travel,495000,Cheryl,Morgan,F,7535 Amanda Manors Suite 293,Norman,AR,71960,34.4596,-93.6743,1383,Manufacturing engineer,11/9/1999,7e815c7e4501a042505c0b346ed3e707,35.324284,-93.740787,1
15216,26-06-20 14:54,6.01E+15,home,1227901.5,Valerie,Davis,F,3861 Anderson Ramp Apt. 536,Drakes Branch,VA,23937,36.9688,-78.5615,1970,Energy engineer,2/9/1985,0f1d6ccf2945463ab72a4e7cc46fd5af,37.355322,-79.287624,1
15217,26-06-20 14:54,2.13E+14,kids_pets,562491,Megan,Fernandez,F,77127 Paul Station Apt. 495,Woods Cross,UT,84087,40.8874,-111.9027,13983,Insurance broker,14-08-79,dbfca8ea3f664861da5418d2c840c4f2,41.329467,-111.078924,1
15218,26-06-20 14:55,4.72E+15,entertainment,436032,Lauren,Anderson,F,11014 Chad Lake Apt. 573,Heart Butte,MT,59448,48.2777,-112.8456,743,Water engineer,4/5/1972,8343649cd6172ed98d3366d12aef671b,48.90848,-113.634343,1
15219,26-06-20 14:55,5.68E+11,entertainment,269550,Dawn,Tucker,F,789 Herring Manors,Houston,TX,77007,29.7736,-95.4034,2906700,"Copywriter, advertising",16-12-84,b9d1b8977cf27a7604d726352c482396,30.081393,-95.987206,0
15220,26-06-20 14:56,4.00E+15,food_dining,1288350,Chris,White,M,98897 Bennett Lodge,Bessemer,AL,35022,33.3224,-86.9657,71463,Radio broadcast assistant,8/2/1989,600ca6f261bebc3dc462af49ce172451,33.602303,-87.842969,0
15221,26-06-20 14:56,4.90E+15,misc_pos,454500,Lisa,Lowe,F,574 David Locks Suite 207,Cottekill,NY,12419,41.8467,-74.1038,722,Comptroller,19-10-90,42527b616d929023ac0086be23495c72,41.346832,-74.940052,0
15222,26-06-20 14:57,3.76E+14,travel,454500,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,28-03-86,8057d48b9204f80e05da674b4324e778,38.19114,-80.44206,1
15223,26-06-20 14:57,4.38E+15,home,848745,Michelle,Russell,F,55505 Christy Via,Hawley,MN,56549,46.9777,-96.4092,4508,Naval architect,24-04-49,17079da1bcec992892ffb36994766c8f,46.902789,-95.60409,1
15224,26-06-20 15:01,2.13E+14,shopping_pos,511920,Margaret,Curtis,F,742 Oneill Shore,Florence,MS,39073,32.153,-90.1217,19685,Fine artist,24-12-84,d0e3b9ef53eaba9f0522876bfa1405c0,32.619622,-90.306304,0
15225,26-06-20 15:01,2.13E+14,personal_care,675000,Jill,Jacobs,F,034 Kimberly Mountains,Brandon,FL,33510,27.9551,-82.2966,79613,Environmental consultant,30-11-78,4afd5075ae4c15961d7277913a9e21be,28.292363,-81.387718,1
15226,26-06-20 15:02,3.58E+15,entertainment,667237.5,Jessica,Ward,F,72269 Elizabeth Field Apt. 132,Phoenix,AZ,85020,33.5623,-112.0559,1312922,Contractor,24-10-81,438f2862f90268e531494c43e2dba38f,33.410546,-112.812637,0
